Year,Provocation,Activity,Day,Month,Injury,State,Latitude,Longitude,SharkName,SharkLength,InjuryLocation,Gender,Age,IncidentTime,SharkScientific
2019,unprovoked,swimming,14.0,1,injured,WA,-31.989,115.7526,wobbegong,1.3408602150537634,foot,female,15.0,1900-01-01 11:30:00,Orectolobidae
2019,provoked,spearfishing,14.0,2,uninjured,WA,-33.6702 ï¿½,114.9951,white shark,3.375,Unknown,male,27.0,,Carcharodon carcharias
2019,unprovoked,boarding,4.0,2,uninjured,NSW,-30.452,152.8979,unknown species,1.9428571428571428,Unknown,male,50.0,1900-01-01 06:15:00,Unknown species
2019,provoked,unknown,11.0,2,injured,NT,-13.8611,136.8116,whitetip reef shark,1.7,Unknown,unknown,,,Triaenodon obesus
2019,unprovoked,boarding,17.0,2,injured,NSW,-28.6337,153.6003,white shark,3.375,leg,male,41.0,1900-01-01 06:40:00,Carcharodon carcharias
2019,unprovoked,snorkelling,25.0,3,injured,QLD,-18.156,147.48,grey reef shark,1.95,"""thigh, pelvic region""",male,25.0,1900-01-01 12:30:00,Carcharhinus amblyrhynchos
2019,provoked,spearfishing,20.0,4,injured,NSW,-32.7501,152.1459,grey nurse shark,1.8666666666666665,arm,male,18.0,1900-01-01 14:00:00,Carcharius taurus
2019,unprovoked,swimming,14.0,5,injured,QLD,-24.7293,152.101,unknown species,1.9428571428571428,"""calf, foot""",male,53.0,1900-01-01 16:20:00,Unknown species
2019,provoked,diving,7.0,6,uninjured,TAS,-43.6523,146.277,white shark,3.375,Unknown,male,,,Carcharodon carcharias
2019,unprovoked,unknown,5.0,6,injured,NSW,-28.7999,153.58,whaler shark,2.2,Unknown,unknown,,,Carcharhinidae
2019,provoked,snorkelling,28.0,7,injured,QLD,-11.9667,143.2333,tiger shark,3.166265060240964,leg,female,21.0,1900-01-01 18:30:00,Galeocerdo cuvier
2019,unprovoked,swimming,2.0,7,injured,NSW,-33.8005,151.2979,grey nurse shark,1.8666666666666665,"""leg, torso""",male,54.0,1900-01-01 05:30:00,Carcharius taurus
2019,unprovoked,boarding,9.0,7,injured,QLD,-26.7994,153.0611,bull shark,1.0,arm,male,43.0,1900-01-01 07:00:00,Carcharhinus leucas
2019,unprovoked,boarding,18.0,7,injured,NSW,ï¿½-28.45602ï¿½,153.54457,bull shark,3.0,"""leg, thigh""",male,,,Unknown species
2019,unprovoked,unknown,2.0,9,injured,NSW,-34.6817,150.8511,unknown species,1.9428571428571428,Unknown,unknown,,,Unknown species
2019,provoked,spearfishing,7.0,9,uninjured,WA,-31.7247,115.7249,white shark,4.5,Unknown,male,,,Carcharodon carcharias
2019,unprovoked,snorkelling,29.0,10,injured,QLD,-21.957,148.1893,unknown species,1.9428571428571428,Unknown,male,,,Unknown species
2019,unprovoked,snorkelling,29.0,10,injured,QLD,-20.3441,148.1893,unknown species,1.9428571428571428,Unknown,male,,,Unknown species
2019,unprovoked,boarding,5.0,10,uninjured,NSW,-32.4436,152.5279,white shark,2.5,Unknown,male,29.0,,Carcharodon carcharias
2019,unprovoked,boarding,17.0,10,uninjured,QLD,-27.0609,153.2006,unknown species,1.9428571428571428,Unknown,male,17.0,,Unknown species
2019,unprovoked,snorkelling,30.0,11,injured,QLD,-24.8312,152.4592,unknown species,1.9428571428571428,foot,male,30.0,1900-01-01 19:00:00,Unknown species
2019,unprovoked,unknown,7.0,12,injured,WA,-20.3441,114.143,unknown species,1.9428571428571428,Unknown,unknown,,,Unknown species
2019,unprovoked,boarding,17.0,12,injured,NSW,-34.6038,150.8676,wobbegong,1.3408602150537634,foot,male,42.0,1900-01-01 19:00:00,Orectolobidae
2019,unprovoked,swimming,30.0,12,injured,QLD,-23.3,151.71,lemon shark,1.0,Unknown,male,,,Negaprion brevirostris
2020,unprovoked,diving,5.0,1,fatal,WA,-33.9222,121.9032,white shark,3.375,Unknown,unknown,,,Carcharodon carcharias
2020,unprovoked,boarding,1.0,1,uninjured,NSW,-30.3119,153.1427,bull shark,2.4013698630136986,Unknown,unknown,,,Carcharhinus leucas
2020,provoked,snorkelling,19.0,1,uninjured,WA,-31.9908,115.5215,white shark,3.375,Unknown,male,,1900-01-01 14:15:00,Carcharodon carcharias
2020,unprovoked,swimming,8.0,1,injured,QLD,-23.2951,151.7079,lemon shark,1.0,Unknown,unknown,,,Negaprion brevirostris
2020,unprovoked,boarding,17.0,1,injured,NSW,-34.5343,150.8746,unknown species,1.9428571428571428,foot,male,60.0,1900-01-01 08:00:00,Unknown species
2020,unprovoked,swimming,6.0,2,injured,QLD,-14.6787,145.4483,lemon shark,1.0,"""head, torso""",female,64.0,1900-01-01 07:00:00,Negaprion brevirostris
2020,unprovoked,swimming,21.0,4,injured,NSW,-31.19,152.98,wobbegong,1.3408602150537634,foot,female,55.0,1900-01-01 08:00:00,Orectolobidae
2020,unprovoked,swimming,7.0,4,fatal,QLD,-23.2951,151.7079,unknown species,1.9428571428571428,"""arm, leg, torso""",male,23.0,,Unknown species
2020,unprovoked,boarding,19.0,4,uninjured,WA,-21.93,114.117778,bull shark,2.4013698630136986,Unknown,male,10.0,1900-01-01 15:00:00,Carcharhinus leucas
2020,unprovoked,boarding,6.0,4,uninjured,NSW,-34.6817,150.8511,bull shark,2.4013698630136986,Unknown,male,21.0,,Carcharhinus leucas
2020,unprovoked,boarding,8.0,5,injured,VIC,-38.3669,144.2847,whaler shark,2.2,leg,male,23.0,,Carcharhinidae
2020,unprovoked,boarding,7.0,6,fatal,NSW,-28.2778,153.5774,white shark,3.375,thigh,male,60.0,1900-01-01 10:00:00,Carcharodon carcharias
2020,unprovoked,boarding,6.0,6,injured,WA,-22.6799,113.698,unknown species,1.9428571428571428,Unknown,female,,1900-01-01 10:30:00,Unknown species
2020,unprovoked,boarding,13.0,6,uninjured,NSW,-33.49762,151.420378,white shark,3.0,Unknown,unknown,,,Carcharodon carcharias
2020,provoked,spearfishing,14.0,6,uninjured,NSW,-34.33834,150.91347,bronze whaler shark,2.5,Unknown,female,16.0,,Carcharhinus brachyurus
2020,provoked,spearfishing,14.0,6,uninjured,NSW,-34.33834,150.91347,bronze whaler shark,2.5,Unknown,male,13.0,,Carcharhinus brachyurus
2020,provoked,spearfishing,14.0,6,uninjured,NSW,-34.33834,150.91347,bronze whaler shark,2.5,Unknown,male,13.0,,Carcharhinus brachyurus
2020,unprovoked,unknown,31.0,7,injured,WA,-33.5427,115.0392,white shark,3.375,Unknown,unknown,,,Carcharodon carcharias
2020,unprovoked,swimming,14.0,7,injured,QLD,-16.9337,145.9943,whaler shark,2.2,"""leg, foot""",female,29.0,1900-01-01 11:00:00,Carcharhinidae
2020,provoked,snorkelling,4.0,7,fatal,QLD,-25.2398,153.1325,whaler shark,2.2,"""leg, foot""",male,36.0,1900-01-01 14:00:00,Carcharhinidae
2020,provoked,fishing,17.0,7,injured,TAS,-40.7667,145.3,white shark,3.375,"""arm, torso, head""",male,10.0,,Carcharodon carcharias
2020,unprovoked,swimming,8.0,7,uninjured,NSW,-33.44815ï¿½,151.44666,dusky shark,1.9500000000000002,Unknown,female,55.0,1900-01-01 19:15:00,Carcharhinus obscurus
2020,unprovoked,boarding,11.0,7,fatal,NSW,-29.853,153.2715,white shark,3.375,Unknown,male,15.0,1900-01-01 14:30:00,Carcharodon carcharias
2020,unprovoked,boarding,15.0,8,injured,NSW,-31.4333,152.9,white shark,3.375,leg,female,35.0,1900-01-01 09:30:00,Carcharodon carcharias
2020,unprovoked,unknown,8.0,9,fatal,QLD,-28.164,153.5476,white shark,3.375,Unknown,unknown,,,Carcharodon carcharias
2020,provoked,boarding,17.0,9,uninjured,NSW,-28.33362,153.569698,white shark,3.5,Unknown,male,43.0,1900-01-01 16:30:00,Carcharodon carcharias
2020,unprovoked,standing,21.0,9,uninjured,NSW,-32.7876ï¿½,152.08002,whaler shark,2.0,leg,male,46.0,1900-01-01 05:50:00,Carcharhinidae
2020,unprovoked,boarding,21.0,9,injured,NSW,-32.7876ï¿½,153.08002,wobbegong,2.0,leg,male,,1900-01-01 17:30:00,Orectolobidae
2020,unprovoked,scuba diving,20.0,10,injured,NSW,-33.950,151.267,white shark,4.0,leg,male,45.0,1900-01-01 14:30:00,Carcharodon carcharias
2020,unprovoked,boarding,21.0,10,uninjured,NSW,-38.26789,144.66193,whaler shark,1.0,Unknown,male,28.0,1900-01-01 19:20:00,Carcharhinidae
2020,provoked,spearfishing,25.0,10,injured,QLD,-18.25,146.666944,bull shark,2.4013698630136986,leg,male,59.0,1900-01-01 12:00:00,Carcharhinus leucas
2020,unprovoked,boarding,9.0,10,fatal,WA,-34.8611,121.8919,white shark,3.375,Unknown,male,,,Carcharodon carcharias
2020,unprovoked,boarding,22.0,11,fatal,WA,-17.9319,122.2081,bull shark,2.4013698630136986,Unknown,male,50.0,1900-01-01 08:45:00,Carcharhinus leucas
2020,provoked,fishing,26.0,11,uninjured,QLD,-13.7333,143.8667,hammerhead shark,3.3333333333333335,Unknown,male,,,Sphyrnidae
2020,unprovoked,boarding,2.0,11,injured,NSW,-31.4295,152.9193,wobbegong,1.3408602150537634,"""hand, foot""",male,13.0,1900-01-01 06:00:00,Orectolobidae
2020,unprovoked,boarding,9.0,12,injured,WA,-17.9319,122.2081,bull shark,2.4013698630136986,Unknown,male,,1900-01-01 07:00:00,Carcharhinus leucas
2020,unprovoked,boarding,6.0,12,injured,SA,-35.9295,137.5966,white shark,3.375,Unknown,male,29.0,1900-01-01 14:20:00,Carcharodon carcharias
2021,unprovoked,swimming,23.0,1,injured,NSW,-33.0833,151.5833,bull shark,2.4013698630136986,Unknown,male,,1900-01-01 18:30:00,Carcharhinus leucas
2021,unprovoked,swimming,30.0,1,injured,WA,-33.8640,114.9864,wobbegong,1.3408602150537634,foot,female,46.0,1900-01-01 10:30:00,Orectolobidae
2021,unprovoked,swimming,14.0,1,injured,WA,-32.0117,115.7866,bull shark,2.4013698630136986,Unknown,male,50.0,1900-01-01 08:00:00,Carcharhinus leucas
2021,unprovoked,boarding,14.0,2,injured,WA,-31.034,115.3356,wobbegong,1.3408602150537634,Unknown,unknown,,,Orectolobidae
2021,unprovoked,boarding,7.0,3,uninjured,NSW,-34.0557,151.1551,wobbegong,1.3408602150537634,Unknown,male,28.0,1900-01-01 08:00:00,Orectolobidae
2021,provoked,spearfishing,27.0,3,uninjured,WA,-34.2763,115.052,wobbegong,1.0,Unknown,male,,,Orectolobidae
2021,unprovoked,swimming,13.0,3,injured,NSW,-36.8875,149.9059,unknown species,1.9428571428571428,"""torso, pelvic region""",female,63.0,1900-01-01 07:00:00,Unknown species
2021,provoked,spearfishing,27.0,3,injured,WA,-23.325,113.791,bull shark,2.4013698630136986,calf,male,,1900-01-01 12:20:00,Carcharhinus leucas
2021,unprovoked,boarding,20.0,3,uninjured,WA,-33.6397,115.0263,blacktip reef shark,2.0,Unknown,male,,1900-01-01 15:00:00,Carcharhinus melanopterus
2021,unprovoked,swimming,19.0,4,injured,WA,-20.6564,116.7081,blacktip reef shark,0.8,foot,male,33.0,1900-01-01 15:40:00,Carcharhinus melanopterus
2021,provoked,spearfishing,21.0,5,injured,WA,-17.5804,122.1571,tiger shark,3.0,"""arm, hand""",male,48.0,1900-01-01 11:20:00,Galeocerdo cuvier
2021,unprovoked,boarding,18.0,5,fatal,NSW,-32.1521,152.5053,white shark,4.5,Unknown,male,,1900-01-01 11:00:00,Carcharodon carcharias
2021,unprovoked,snorkelling,11.0,6,injured,WA,-23.1423,113.7723,tiger shark,2.0,foot,male,10.0,,Galeocerdo cuvier
2021,provoked,spearfishing,23.0,6,injured,WA,-29.9453,114.9824,white shark,4.0,"""calf, foot""",male,25.0,1900-01-01 14:20:00,Carcharodon carcharias
2021,unprovoked,boarding,5.0,7,injured,NSW,-31.1295,153.0011,white shark,3.375,arm,male,25.0,,Carcharodon carcharias
2021,provoked,motorised boating,27.0,7,injured,WA,-20.6517,115.5785,lemon shark,1.0,"""leg, pelvic region""",male,32.0,,Negaprion brevirostris
2021,unprovoked,boarding,5.0,9,fatal,NSW,-30.1575,153.1502,white shark,3.375,arm,male,31.0,1900-01-01 11:00:00,Carcharodon carcharias
2021,unprovoked,boarding,18.0,9,injured,NSW,-30.2860,153.1364,wobbegong,1.3408602150537634,foot,male,47.0,,Orectolobidae
2021,unprovoked,swimming,17.0,10,injured,QLD,-20.2665,148.8819,unknown species,1.9428571428571428,leg,male,,,Unknown species
2021,unprovoked,boarding,11.0,10,injured,NSW,-30.2042,153.1490,wobbegong,1.3408602150537634,foot,male,37.0,1900-01-01 06:00:00,Orectolobidae
2021,unprovoked,swimming,6.0,11,fatal,WA,-32.0569,115.7439,white shark,3.375,Unknown,male,57.0,,Carcharodon carcharias
2021,unprovoked,unknown,6.0,12,injured,VIC,-38.2676,144.5067,unknown species,1.9428571428571428,torso,male,,,Unknown species
2021,unprovoked,boarding,6.0,12,injured,VIC,-38.2676,144.5067,unknown species,1.9428571428571428,"""leg, hand""",female,15.0,,Unknown species
2021,provoked,spearfishing,12.0,12,injured,QLD,-16.9062,145.8662,bull shark,2.4013698630136986,leg,male,24.0,,Carcharhinus leucas
2022,unprovoked,swimming,4.0,1,injured,NSW,-35.1011,150.6892,whaler shark,2.2,"""leg, thigh""",female,42.0,1900-01-01 06:20:00,Carcharhinidae
2022,unprovoked,swimming,24.0,1,injured,NSW,-33.7000,151.2999,wobbegong,1.3408602150537634,foot,male,11.0,,Orectolobidae
2022,unprovoked,snorkelling,22.0,1,injured,WA,-35.0031,117.8660,wobbegong,1.3408602150537634,"""leg, other: multiple bites""",male,,,Orectolobidae
2022,unprovoked,swimming,16.0,2,fatal,NSW,-30.8830,153.0830,white shark,4.5,Unknown,male,35.0,1900-01-01 17:00:00,Carcharodon carcharias
2022,unprovoked,other:floating,17.0,2,injured,QLD,-27.2333,153.2667,tiger shark,3.5,leg,unknown,,,Galeocerdo cuvier
2022,unprovoked,other:floating,6.0,2,injured,WA,-33.84848ï¿½,121.9184,white shark,3.3,torso,female,20.0,1900-01-01 12:00:00,Carcharodon carcharias
2022,unprovoked,scuba diving,20.0,2,injured,NSW,-33.8006,151.2982,wobbegong,1.3408602150537634,Unknown,unknown,,,Orectolobidae
2022,unprovoked,wading,22.0,3,injured,NSW,-32,152.7512,wobbegong,1.3408602150537634,minor lacerations,unknown,,,Orectolobidae
2022,unprovoked,boarding,8.0,3,uninjured,NSW,-33.9516,151.2603,unknown,1.9428571428571428,Unknown,unknown,,,Unknown species
