Year,Provocation,Activity,Day,Month,Injury,State,Latitude,Longitude,SharkName,SharkLength,InjuryLocation,Gender,Age,IncidentTime,SharkScientific
2004,provoked,snorkelling,25.0,9,uninjured,QLD,-16.4,145.7666667,tiger shark,3.0,other: uninjured,male,,1900-01-01 12:00:00,Galeocerdo cuvier
2004,unprovoked,boarding,21.0,10,injured,NSW,-32.85,151.8333333,white shark,2.5,foot,male,59.0,1900-01-01 16:00:00,Carcharodon carcharias
2004,unprovoked,boarding,6.0,11,injured,NSW,-32.01666667,152.5333333,wobbegong,1.2,"""arm, hand""",male,14.0,1900-01-01 08:00:00,Orectolobidae
2004,provoked,spearfishing,11.0,12,fatal,QLD,-16.21666667,145.8833333,tiger shark,3.166265060240964,thigh,male,38.0,1900-01-01 12:15:00,Galeocerdo cuvier
2004,unprovoked,boarding,16.0,12,fatal,SA,-34.9,137,white shark,5.0,torso,male,18.0,1900-01-01 15:15:00,Carcharodon carcharias
2005,provoked,spearfishing,19.0,1,uninjured,VIC,-37.98333333,145.0166667,white shark,3.0,other: uninjured,male,,,Carcharodon carcharias
2005,unprovoked,swimming,26.0,2,injured,QLD,-27.55,152.8166667,bull shark,1.5,"""arm, hand""",male,18.0,,Carcharhinus leucas
2005,unprovoked,boarding,25.0,3,uninjured,NSW,-33.38333333,151.4833333,white shark,4.0,other: uninjured,male,31.0,1900-01-01 14:00:00,Carcharodon carcharias
2005,unprovoked,snorkelling,19.0,3,fatal,WA,-28.71666667,113.7833333,white shark,6.0,torso,male,26.0,,Carcharodon carcharias
2005,provoked,spearfishing,16.0,4,injured,NT,-12.11666667,136.8,whaler shark,2.0,head,male,20.0,,Carcharhinidae
2005,unprovoked,boarding,16.0,4,uninjured,NSW,-33.9,151.2666667,white shark,1.5,other: uninjured,male,40.0,1900-01-01 06:15:00,Carcharodon carcharias
2005,provoked,spearfishing,16.0,5,injured,QLD,-19.35,147.3666667,blacktip reef shark,2.0,"""arm, hand""",male,,,Carcharhinus melanopterus
2005,unprovoked,diving,24.0,8,fatal,SA,-34.96666667,138.5,white shark,5.0,torso,male,23.0,1900-01-01 16:10:00,Carcharodon carcharias
2005,unprovoked,boarding,24.0,9,uninjured,NSW,-30.88333333,153.0833333,tiger shark,3.0,other: uninjured,male,28.0,,Galeocerdo cuvier
